["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 5.5298726222841163e-04 -2.6360465829604092e+00
1.9041398810591294e+14 5.3992941451376226e-04 -2.6373452001885540e+00
1.9048355843404809e+14 5.2694788828905553e-04 -2.6386549248733964e+00
1.9055312876218325e+14 5.1404247929769727e-04 -2.6399761648152285e+00
1.9062269909031841e+14 5.0121300125779338e-04 -2.6413093310892437e+00
1.9069226941845353e+14 4.8845928412147603e-04 -2.6426548344773608e+00
1.9076183974658869e+14 4.7578117217084392e-04 -2.6440130816865008e+00
1.9083141007472384e+14 4.6317852198578296e-04 -2.6453844713891201e+00
1.9090098040285900e+14 4.5065120029031536e-04 -2.6467693900179579e+00
1.9097055073099416e+14 4.3819908170942076e-04 -2.6481682074093129e+00
1.9104012105912931e+14 4.2582204644429114e-04 -2.6495812722032066e+00
1.9110969138726447e+14 4.1351997789681680e-04 -2.6510089070250595e+00
1.9117926171539962e+14 4.0129276026154928e-04 -2.6524514034556121e+00
1.9124883204353475e+14 3.8914027611231417e-04 -2.6539090166841910e+00
1.9131840237166991e+14 3.7706240400048861e-04 -2.6553819599003368e+00
1.9138797269980506e+14 3.6505901608517989e-04 -2.6568703982975186e+00
1.9145754302794022e+14 3.5312997582938050e-04 -2.6583744426450941e+00
1.9152711335607538e+14 3.4127513577706194e-04 -2.6598941423224369e+00
1.9159668368421053e+14 3.2949433541910184e-04 -2.6614294776871974e+00
1.9166625401234569e+14 3.1778739919894786e-04 -2.6629803515959170e+00
1.9173582434048084e+14 3.0615413464351541e-04 -2.6645465798570287e+00
1.9180539466861597e+14 2.9459433066108658e-04 -2.6661278803298165e+00
1.9187496499675112e+14 2.8310775601220022e-04 -2.6677238602039579e+00
1.9194453532488628e+14 2.7169415796476866e-04 -2.6693340010517685e+00
1.9201410565302144e+14 2.6035326115965364e-04 -2.6709576408339348e+00
1.9208367598115659e+14 2.4908476668347230e-04 -2.6725939519545006e+00
1.9215324630929175e+14 2.3788835136833109e-04 -2.6742419141399916e+00
1.9222281663742691e+14 2.2676366731575826e-04 -2.6759002802746954e+00
1.9229238696556206e+14 2.1571034166672850e-04 -2.6775675328558264e+00
1.9236195729369719e+14 2.0472797659645340e-04 -2.6792418276006411e+00
1.9243152762183234e+14 1.9381614956275913e-04 -2.6809209193667654e+00
1.9250109794996750e+14 1.8297441378519833e-04 -2.6826020633083711e+00
1.9257066827810266e+14 1.7220229896668519e-04 -2.6842818809486491e+00
1.9264023860623781e+14 1.6149931225238441e-04 -2.6859561755325392e+00
1.9270980893437297e+14 1.5086493942069841e-04 -2.6876196726896904e+00
1.9277937926250812e+14 1.4029864630973351e-04 -2.6892656488380702e+00
1.9284894959064328e+14 1.2979988048262173e-04 -2.6908853859991879e+00
1.9291851991877844e+14 1.1936807314272770e-04 -2.6924673512491601e+00
1.9298809024691356e+14 1.0900264134061061e-04 -2.6939959236564288e+00
1.9305766057504872e+14 9.8702990533636658e-05 -2.6954493495266090e+00
1.9312723090318388e+14 8.8468517664944528e-05 -2.6967963193319964e+00
1.9319680123131903e+14 7.8298615074192033e-05 -2.6979899478418616e+00
1.9326637155945419e+14 6.8192675977495523e-05 -2.6989565287163044e+00
1.9333594188758934e+14 5.8150103251356132e-05 -2.6995728806806429e+00
1.9340551221572450e+14 4.8170326121779926e-05 -2.6996160423072411e+00
1.9347508254385966e+14 3.8252838813403894e-05 -2.6986358949920444e+00
1.9354465287199478e+14 2.8397313827769679e-05 -2.6955657616641173e+00
1.9361422320012994e+14 1.8604062397298794e-05 -2.6871144164414558e+00
1.9368379352826509e+14 8.8774903901516716e-06 -2.6556534565215295e+00
1.9375336385640025e+14 9.9629398921684975e-07 -1.8895428764426797e-01
1.9382293418453541e+14 1.0450686971673799e-05 3.6293342956711039e-01
1.9389250451267056e+14 2.0002661885042342e-05 3.8682933080561621e-01
1.9396207484080572e+14 2.9501690320843993e-05 3.9383761106487775e-01
1.9403164516894088e+14 3.8944794369297465e-05 3.9634773779547250e-01
1.9410121549707600e+14 4.8331754507860821e-05 3.9700786259968829e-01
1.9417078582521116e+14 5.7662827530741954e-05 3.9672596338337329e-01
1.9424035615334631e+14 6.6938395719555297e-05 3.9589762039640791e-01
1.9430992648148147e+14 7.6158875788631325e-05 3.9472282725874663e-01
1.9437949680961662e+14 8.5324687657263460e-05 3.9331359807520522e-01
1.9444906713775178e+14 9.4436241681520203e-05 3.9173755949633604e-01
1.9451863746588694e+14 1.0349393285077084e-04 3.9003794884894949e-01
1.9458820779402209e+14 1.1249813804967467e-04 3.8824368360619399e-01
1.9465777812215725e+14 1.2144921486925722e-04 3.8637481368575655e-01
1.9472734845029238e+14 1.3034750131852291e-04 3.8444565124699592e-01
1.9479691877842753e+14 1.3919331611803384e-04 3.8246665588713025e-01
1.9486648910656269e+14 1.4798695941542052e-04 3.8044561698315782e-01
1.9493605943469784e+14 1.5672871383033655e-04 3.7838842130041761e-01
1.9500562976283300e+14 1.6541884576730989e-04 3.7629956655273622e-01
