["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 4.6311030828152398e-04 -2.6083733381611487e+00
1.9041398810591294e+14 4.5196613756126456e-04 -2.6099653365878268e+00
1.9048355843404809e+14 4.4089630473498326e-04 -2.6115697170624621e+00
1.9055312876218325e+14 4.2990045975109336e-04 -2.6131861949980393e+00
1.9062269909031841e+14 4.1897824415919332e-04 -2.6148144503031809e+00
1.9069226941845353e+14 4.0812929115742810e-04 -2.6164541251206450e+00
1.9076183974658869e+14 3.9735322570411835e-04 -2.6181048212281732e+00
1.9083141007472384e+14 3.8664966470510544e-04 -2.6197660970728265e+00
1.9090098040285900e+14 3.7601821726945979e-04 -2.6214374643340630e+00
1.9097055073099416e+14 3.6545848502874583e-04 -2.6231183839525727e+00
1.9104012105912931e+14 3.5497006252272286e-04 -2.6248082614307435e+00
1.9110969138726447e+14 3.4455253764117380e-04 -2.6265064413470984e+00
1.9117926171539962e+14 3.3420549212054290e-04 -2.6282122008420274e+00
1.9124883204353475e+14 3.2392850209167533e-04 -2.6299247419036536e+00
1.9131840237166991e+14 3.1372113866918430e-04 -2.6316431821202610e+00
1.9138797269980506e+14 3.0358296858097285e-04 -2.6333665436848350e+00
1.9145754302794022e+14 2.9351355483889203e-04 -2.6350937401386734e+00
1.9152711335607538e+14 2.8351245741552178e-04 -2.6368235603971986e+00
1.9159668368421053e+14 2.7357923396679248e-04 -2.6385546494270695e+00
1.9166625401234569e+14 2.6371344055089752e-04 -2.6402854847659496e+00
1.9173582434048084e+14 2.5391463236715641e-04 -2.6420143478251426e+00
1.9180539466861597e+14 2.4418236448940021e-04 -2.6437392887205289e+00
1.9187496499675112e+14 2.3451619260439713e-04 -2.6454580828197374e+00
1.9194453532488628e+14 2.2491567373793503e-04 -2.6471681768760349e+00
1.9201410565302144e+14 2.1538036697245756e-04 -2.6488666216392986e+00
1.9208367598115659e+14 2.0590983414991231e-04 -2.6505499870678730e+00
1.9215324630929175e+14 1.9650364055993661e-04 -2.6522142547289174e+00
1.9222281663742691e+14 1.8716135561171158e-04 -2.6538546799201783e+00
1.9229238696556206e+14 1.7788255349827705e-04 -2.6554656134509664e+00
1.9236195729369719e+14 1.6866681385646349e-04 -2.6570402685200092e+00
1.9243152762183234e+14 1.5951372244040388e-04 -2.6585704121785692e+00
1.9250109794996750e+14 1.5042287182531709e-04 -2.6600459514707446e+00
1.9257066827810266e+14 1.4139386218835616e-04 -2.6614543698887356e+00
1.9264023860623781e+14 1.3242630221397847e-04 -2.6627799471981248e+00
1.9270980893437297e+14 1.2351981022568344e-04 -2.6640026589286609e+00
1.9277937926250812e+14 1.1467401567301628e-04 -2.6650965911735232e+00
1.9284894959064328e+14 1.0588856124445716e-04 -2.6660276019651890e+00
1.9291851991877844e+14 9.7163105980312001e-05 -2.6667497758755787e+00
1.9298809024691356e+14 8.8497330128931777e-05 -2.6671998772925254e+00
1.9305766057504872e+14 7.9890943056040752e-05 -2.6672883475744960e+00
1.9312723090318388e+14 7.1343696710203660e-05 -2.6668840438583028e+00
1.9319680123131903e+14 6.2855409873472680e-05 -2.6657869798068994e+00
1.9326637155945419e+14 5.4426014574353101e-05 -2.6636764092460354e+00
1.9333594188758934e+14 4.6055652356148259e-05 -2.6600036289301263e+00
1.9340551221572450e+14 3.7744895755615173e-05 -2.6537460736325560e+00
1.9347508254385966e+14 2.9495336163998776e-05 -2.6427560780177211e+00
1.9354465287199478e+14 2.1311509688154346e-05 -2.6216322009402582e+00
1.9361422320012994e+14 1.3209849827519039e-05 -2.5718651343776666e+00
1.9368379352826509e+14 5.3086327902007655e-06 -2.3648034036310945e+00
1.9375336385640025e+14 3.5374381069186688e-06 -1.0653476936241935e-01
1.9382293418453541e+14 1.1172515368353166e-05 2.6351040236025780e-01
1.9389250451267056e+14 1.9039068136574841e-05 3.2822667494345620e-01
1.9396207484080572e+14 2.6886916072755687e-05 3.5343248070576400e-01
1.9403164516894088e+14 3.4692004852848665e-05 3.6600587245703575e-01
1.9410121549707600e+14 4.2448350711412837e-05 3.7295528139534245e-01
1.9417078582521116e+14 5.0153937411011857e-05 3.7690961339627860e-01
1.9424035615334631e+14 5.7808038247194365e-05 3.7907592399348644e-01
1.9430992648148147e+14 6.5410451588318754e-05 3.8008590435705669e-01
1.9437949680961662e+14 7.2961225027496252e-05 3.8030208063505228e-01
1.9444906713775178e+14 8.0460539121261291e-05 3.7994730996799025e-01
1.9451863746588694e+14 8.7908652650992304e-05 3.7916608953522613e-01
1.9458820779402209e+14 9.5305874622397520e-05 3.7805618354568166e-01
1.9465777812215725e+14 1.0265254897409910e-04 3.7668608031574952e-01
1.9472734845029238e+14 1.0994904582726005e-04 3.7510517137917448e-01
1.9479691877842753e+14 1.1719575621504840e-04 3.7334996234098672e-01
1.9486648910656269e+14 1.2439308882526646e-04 3.7144801022278795e-01
1.9493605943469784e+14 1.3154146788247321e-04 3.6942050254569936e-01
1.9500562976283300e+14 1.3864133173089067e-04 3.6728399500508385e-01
1.9507520009096816e+14 1.4569313182361671e-04 3.6505161156986632e-01
1.9514477041910331e+14 1.5269733196403740e-04 3.6273389150174595e-01
1.9521434074723847e+14 1.5965440768852889e-04 3.6033939883606531e-01
