["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 6.6948086894047434e-04 -2.6573129408907965e+00
1.9041398810591294e+14 6.5398406087407816e-04 -2.6583040616967706e+00
1.9048355843404809e+14 6.3856811275165995e-04 -2.6593038011413888e+00
1.9055312876218325e+14 6.2323293530292727e-04 -2.6603124126842173e+00
1.9062269909031841e+14 6.0797845030617105e-04 -2.6613301264011286e+00
1.9069226941845353e+14 5.9280458782198526e-04 -2.6623571441461875e+00
1.9076183974658869e+14 5.7771128335601623e-04 -2.6633936344710833e+00
1.9083141007472384e+14 5.6269847496883232e-04 -2.6644397272856972e+00
1.9090098040285900e+14 5.4776610036699129e-04 -2.6654955082428784e+00
1.9097055073099416e+14 5.3291409400445906e-04 -2.6665610127778199e+00
1.9104012105912931e+14 5.1814238420852868e-04 -2.6676362197876546e+00
1.9110969138726447e+14 5.0345089037642570e-04 -2.6687210448687386e+00
1.9117926171539962e+14 4.8883952025215757e-04 -2.6698153330189438e+00
1.9124883204353475e+14 4.7430816731974465e-04 -2.6709188507167765e+00
1.9131840237166991e+14 4.5985670832929319e-04 -2.6720312772009125e+00
1.9138797269980506e+14 4.4548500099377914e-04 -2.6731521948297083e+00
1.9145754302794022e+14 4.3119288185286162e-04 -2.6742810782118962e+00
1.9152711335607538e+14 4.1698016435768844e-04 -2.6754172819066482e+00
1.9159668368421053e+14 4.0284663716753770e-04 -2.6765600262433904e+00
1.9166625401234569e+14 3.8879206268797130e-04 -2.6777083808401292e+00
1.9173582434048084e+14 3.7481617586016311e-04 -2.6788612451829659e+00
1.9180539466861597e+14 3.6091868322826184e-04 -2.6800173254931625e+00
1.9187496499675112e+14 3.4709926226196677e-04 -2.6811751068147500e+00
1.9194453532488628e+14 3.3335756098443490e-04 -2.6823328190577014e+00
1.9201410565302144e+14 3.1969319788002342e-04 -2.6834883951122555e+00
1.9208367598115659e+14 3.0610576209512988e-04 -2.6846394187480835e+00
1.9215324630929175e+14 2.9259481393976105e-04 -2.6857830590667771e+00
1.9222281663742691e+14 2.7915988567950301e-04 -2.6869159871694235e+00
1.9229238696556206e+14 2.6580048262324043e-04 -2.6880342689868573e+00
1.9236195729369719e+14 2.5251608450138396e-04 -2.6891332260185314e+00
1.9243152762183234e+14 2.3930614714247239e-04 -2.6902072519653246e+00
1.9250109794996750e+14 2.2617010442904650e-04 -2.6912495681835535e+00
1.9257066827810266e+14 2.1310737056624498e-04 -2.6922518929033332e+00
1.9264023860623781e+14 2.0011734265778798e-04 -2.6932039865887796e+00
1.9270980893437297e+14 1.8719940362819620e-04 -2.6940930161207550e+00
1.9277937926250812e+14 1.7435292555515231e-04 -2.6949026479327660e+00
1.9284894959064328e+14 1.6157727352283352e-04 -2.6956117256026806e+00
1.9291851991877844e+14 1.4887181017376620e-04 -2.6961922922155339e+00
1.9298809024691356e+14 1.3623590134436052e-04 -2.6966065455305444e+00
1.9305766057504872e+14 1.2366892341480692e-04 -2.6968019892880695e+00
1.9312723090318388e+14 1.1117027363057240e-04 -2.6967033990581610e+00
1.9319680123131903e+14 9.8739385906134418e-05 -2.6961988636438168e+00
